Year,Country code,Country,Population,Total Water Consumption(Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level,Number of dams,Reservoir_Capacity_TMC,Number_of_Industries,ISO_Code,Water_Use_Intensity,Sector_Balance,Infrastructure_per_Capita,Water_Consumption_lag1,Per_Capita_lag1,Water_Consumption_MA3,Population_Rainfall_Interaction,Agri_GW_Interaction
1990,604,Peru,22100000,20,300,86,4,8,1700,0,Moderate,1500,525,50000,PER,9.05E-07,0.045977011,2.38E-05,61.3,441,20,37570000000,0
1990,368,Iraq,17100000,80,650,92,5,5,220,1,Moderate,130,4200,25000,IRQ,4.68E-06,0.053763441,0.000245614,61.3,441,80,3762000000,92
1991,356,India,415456000,365.5,2340.1,40.2,36.8,23,1589.3,2.15,Low,2350,1285.5,8960,IND,8.80E-07,0.893203883,3.09E-06,350,2367.85,357.75,6.60E+11,86.43
1991,156,China,1140000000,515,1237.99,83.2,36.8,5.314,639.286,2.229,Low,19150,470,135000,CHN,4.52E-07,0.437054632,4.12E-07,502,1212.14,508.5,7.29E+11,185.4528
1991,840,USA,252000000,560,2145,64.2,43.8,12.086,722.5,29.57,High,75457,461.5,387143,USA,2.22E-06,0.671779141,1.83E-06,564,2180,562,1.82E+11,1898.394
1991,76,Brazil,150600000,45.9,836.3,60.2,19.7,10.2,2193.1,2.6,Low,1571,351.4,139143,BRA,3.05E-07,0.321895425,2.33E-06,45,827.9,45.45,3.30E+11,156.52
1991,643,Russia,147885714,115.4,2148.6,34.6,44.1,10.2,461.1,6.9,High,3306,854,49457,RUS,7.80E-07,1.238764045,5.77E-06,117,2165.5,116.2,68190102725,238.74
1991,484,Mexico,82537143,77.1,357.1,81.8,5.2,8.2,747.1,1.1,Moderate,4043,7100,260000,MEX,9.34E-07,0.062801932,8.60E-05,77,360,77.05,61663499535,89.98
1991,36,Australia,211714,16.43,213.3,1.09,54.4,55.1,909.1,2.2,Low,4520,1562,260000,AUS,7.76E-05,26.02870813,0.007377843,16.5,214.9,16.465,192469197.4,2.398
1991,826,England,48260000,16.43,933.3,1.11,24.5,55.1,909.1,0.32,Low,4514,1801,211714,GBR,3.40E-07,11.61137441,3.73E-05,16.5,940.1,16.465,43873166000,0.3552
1991,250,France,58405714,39.7,174,14.9,21.6,16.1,772.3,20.4,Low,553,7814,210571,FRA,6.80E-07,1.358490566,0.000133788,40,175,39.85,45106732922,303.96
1991,124,Canada,28000000,44.7,644.3,11.9,79.7,9.1,538,0,Low,10143,60286,68857,CAN,1.60E-06,6.178294574,0.002153071,45,650,44.85,15064000000,0
1991,392,Japan,123485714,88.6,357.1,65.9,32.5,17.9,1697,0,Low,2806,17043,463429,JPN,7.17E-07,0.485799701,0.000138016,89,360,88.8,2.10E+11,0
1991,32,Argentina,33000000,32.2,547.1,74.9,8.1,10.1,589,0.6,Low,101,2114,60857,ARG,9.76E-07,0.106719368,6.41E-05,32,550,32.1,19437000000,44.94
1991,704,Vietnam,67000000,61,81,91.7,8.1,8.2,1798,0.2,Low,520,18029,26214,VNM,9.10E-07,0.087378641,0.00026909,60,80,60.5,1.20E+11,18.34
1991,608,Philippines,63657143,51,159,85.5,5.1,10.1,2398,0.6,Low,751,864,32857,PHL,8.01E-07,0.058959538,1.36E-05,50,160,50.5,1.53E+11,51.3
1991,364,Iran,56942857,72,444,91.9,5.1,6.1,248,5.7,Moderate,46,26,66571,IRN,1.26E-06,0.05489774,4.57E-07,71,450,71.5,14121828536,523.83
1991,764,Thailand,56505714,36,496,89.4,5.2,5.1,1593,5.7,Low,10571,70429,65429,THA,6.37E-07,0.057522124,0.001246405,35,500,35.5,90013602402,509.58
1991,860,Uzbekistan,20942857,63.5,1977.1,97.6,7.9,5.1,248.6,2.1,Moderate,1029,28014,2286,UZB,3.03E-06,0.080121704,0.00133764,64,2000,63.75,5206394250,204.96
1991,792,Turkey,57342857,32.8,179.1,74.7,12.2,16.1,667.1,1.2,Low,537,1783,94286,TUR,5.72E-07,0.161162483,3.11E-05,32,180,32.4,38253419905,89.64
1991,604,Peru,22465714,20.2,295.7,85.8,4.1,8.05,1695.7,0.09,Moderate,2029,528,54286,PER,8.99E-07,0.047235023,2.35E-05,20,300,20.1,38095111230,7.722
1991,368,Iraq,17914286,79.3,637.1,91.8,4.91,5.06,217.1,1.17,Moderate,138,4151,24571,IRQ,4.43E-06,0.052909483,0.000231714,80,650,79.65,3889191491,107.406
1992,356,India,426123000,381.25,2314.68,41,36.5,22.5,1623.1,2.05,Low,2460,1321.75,9120,IND,8.95E-07,0.869047619,3.10E-06,365.5,2340.1,365.5833333,6.92E+11,84.05
1992,156,China,1150000000,530,1261.83,82.4,36.5,5.642,638.571,2.458,Moderate,19300,490,144000,CHN,4.61E-07,0.43764988,4.26E-07,515,1237.99,515.6666667,7.34E+11,202.5392
1992,840,USA,255000000,556,2110,63.4,42.6,12.172,730,29.14,High,75914,463,394286,USA,2.18E-06,0.661490683,1.82E-06,560,2145,560,1.86E+11,1847.476
1992,76,Brazil,152200000,46.8,842.2,60.4,19.4,10.4,2186.3,3.2,Low,1643,352.9,148286,BRA,3.07E-07,0.315960912,2.32E-06,45.9,836.3,45.9,3.33E+11,193.28
1992,643,Russia,147771429,113.9,2132.4,34.1,43.3,10.5,462.3,6.7,High,3311,859,53914,RUS,7.71E-07,1.233618234,5.81E-06,115.4,2148.6,115.4333333,68314731627,228.47
1992,484,Mexico,83874286,77.2,354.3,81.6,5.4,8.4,744.3,1.2,Moderate,4086,7200,270000,MEX,9.20E-07,0.065375303,8.58E-05,77.1,357.1,77.1,62427631070,97.92
1992,36,Australia,213429,16.36,211.7,1.17,53.9,55.3,913.3,2.4,Low,4540,1564,270000,AUS,7.67E-05,24.83870968,0.00732793,16.43,213.3,16.43,194924705.7,2.808
1992,826,England,48520000,16.37,926.7,1.23,23.9,55.3,913.3,0.34,Low,4529,1803,213429,GBR,3.37E-07,10.71748879,3.72E-05,16.43,933.3,16.43333333,44313316000,0.4182
1992,250,France,58611429,39.4,173,14.7,21.2,16.2,774.6,20.9,Low,556,7829,211143,FRA,6.72E-07,1.350318471,0.000133575,39.7,174,39.7,45400412903,307.23
1992,124,Canada,28300000,44.4,638.6,11.8,79.3,9.2,539,0,Low,10286,60571,67714,CAN,1.57E-06,6.1953125,0.002140318,44.7,644.3,44.7,15253700000,0
1992,392,Japan,123471429,88.1,354.3,65.7,32,17.9,1699,0,Low,2811,17086,456857,JPN,7.14E-07,0.47976012,0.00013838,88.6,357.1,88.56666667,2.10E+11,0
1992,32,Argentina,33400000,32.4,544.3,74.7,8.2,10.2,587,0.7,Low,102,2129,61714,ARG,9.70E-07,0.108322325,6.37E-05,32.2,547.1,32.2,19605800000,52.29
1992,704,Vietnam,68000000,62,82,91.4,8.2,8.4,1796,0.3,Low,540,19057,37429,VNM,9.12E-07,0.088744589,0.00028025,61,81,61,1.22E+11,27.42
1992,608,Philippines,65414286,52,158,85.1,5.3,10.3,2396,0.7,Low,803,879,35714,PHL,7.95E-07,0.06155633,1.34E-05,51,159,51,1.57E+11,59.57
1992,364,Iran,57885714,73,438,91.9,5.2,6.2,246,6.4,Moderate,52,28,68143,IRN,1.26E-06,0.055974166,4.84E-07,72,444,72,14239885644,588.16
1992,764,Thailand,56911429,36,491,88.9,5.4,5.3,1586,6.4,Low,11143,70857,70857,THA,6.33E-07,0.060066741,0.00124504,36,496,35.66666667,90261526394,568.96
1992,860,Uzbekistan,21385714,63,1954.3,97.3,7.7,5.3,247.1,2.3,Moderate,1057,28029,2571,UZB,2.95E-06,0.078331638,0.001310641,63.5,1977.1,63.5,5284409929,223.79
1992,792,Turkey,58185714,33.6,178.3,74.4,12.4,16.2,664.3,1.4,Low,574,1866,98571,TUR,5.77E-07,0.164456233,3.21E-05,32.8,179.1,32.8,38652769810,104.16
1992,604,Peru,22831429,20.4,291.4,85.7,4.2,8.11,1691.4,0.17,Moderate,2557,531,58571,PER,8.94E-07,0.048442907,2.33E-05,20.2,295.7,20.2,38617079011,14.569
1992,368,Iraq,18728571,78.6,624.3,91.6,4.83,5.11,214.3,1.34,Moderate,145,4103,24143,IRQ,4.20E-06,0.052159827,0.000219077,79.3,637.1,79.3,4013532765,122.744
1993,356,India,437234000,397.25,2291.29,40.5,37,22.5,1598.45,2.2,Low,2570,1358.75,9280,IND,9.09E-07,0.891566265,3.11E-06,381.25,2314.68,381.3333333,6.99E+11,89.1
1993,156,China,1160000000,546,1287.1,81.6,37,5.985,637.857,2.687,Moderate,19450,510,153000,CHN,4.71E-07,0.447941889,4.40E-07,530,1261.83,530.3333333,7.40E+11,219.2592
1993,840,USA,258000000,552,2075,62.6,41.4,12.258,737.5,28.71,High,76371,464.5,401429,USA,2.14E-06,0.650943396,1.80E-06,556,2110,556,1.90E+11,1797.246
1993,76,Brazil,153800000,47.7,848.3,60.6,19.1,10.6,2179.4,3.8,Low,1714,354.3,157429,BRA,3.10E-07,0.310064935,2.30E-06,46.8,842.2,46.8,3.35E+11,230.28
1993,643,Russia,147657143,112.3,2116.8,33.7,42.4,10.7,463.4,6.6,High,3317,863,58371,RUS,7.61E-07,1.221902017,5.84E-06,113.9,2132.4,113.8666667,68424320066,222.42
1993,484,Mexico,85211429,77.3,351.4,81.4,5.6,8.6,741.4,1.3,Moderate,4129,7300,280000,MEX,9.07E-07,0.067961165,8.57E-05,77.2,354.3,77.2,63175753461,105.82
1993,36,Australia,215143,16.29,210.1,1.26,53.3,55.4,917.4,2.6,Low,4560,1566,280000,AUS,7.57E-05,23.5840708,0.007278846,16.36,211.7,16.36,197372188.2,3.276
1993,826,England,48780000,16.3,920.2,1.34,23.4,55.4,917.4,0.36,Low,4543,1804,215143,GBR,3.34E-07,10,3.70E-05,16.37,926.7,16.36666667,44750772000,0.4824
1993,250,France,58817143,39.1,172,14.6,20.8,16.3,776.9,21.3,Low,559,7843,211714,FRA,6.65E-07,1.333333333,0.000133345,39.4,173,39.4,45695038397,310.98
1993,124,Canada,28600000,44.1,632.9,11.7,79,9.3,540,0,Low,10429,60857,66571,CAN,1.54E-06,6.220472441,0.002127867,44.4,638.6,44.4,15444000000,0
1993,392,Japan,123457143,87.7,351.4,65.6,31.5,17.8,1701,0,Low,2817,17129,450286,JPN,7.10E-07,0.472972973,0.000138745,88.1,354.3,88.13333333,2.10E+11,0
1993,32,Argentina,33800000,32.6,541.4,74.6,8.3,10.3,585,0.8,Low,103,2143,62571,ARG,9.64E-07,0.10978836,6.34E-05,32.4,544.3,32.4,19773000000,59.68
1993,704,Vietnam,69000000,63,83,91.1,8.3,8.6,1794,0.4,Low,560,20086,48643,VNM,9.13E-07,0.090119435,0.000291101,62,82,62,1.24E+11,36.44
1993,608,Philippines,67171429,53,157,84.6,5.4,10.4,2394,0.8,Low,854,893,38571,PHL,7.89E-07,0.063084112,1.33E-05,52,158,52,1.61E+11,67.68
1993,364,Iran,58828571,74,432,91.8,5.3,6.3,244,7.1,Moderate,58,29,69714,IRN,1.26E-06,0.057112069,4.93E-07,73,438,73,14354171324,651.78
1993,764,Thailand,57317143,37,487,88.3,5.6,5.4,1579,7.1,Low,11714,71286,76286,THA,6.46E-07,0.062709966,0.001243712,36,491,36.33333333,90503768797,626.93
1993,860,Uzbekistan,21828571,62.5,1931.4,96.9,7.6,5.4,245.7,2.4,Moderate,1086,28043,2857,UZB,2.86E-06,0.077630235,0.001284692,63,1954.3,63,5363279895,232.56
1993,792,Turkey,59028571,34.4,177.4,74.1,12.6,16.3,661.4,1.6,Low,611,1949,102857,TUR,5.83E-07,0.167776298,3.30E-05,33.6,178.3,33.6,39041496859,118.56
1993,604,Peru,23197143,20.6,287.1,85.5,4.3,8.17,1687.1,0.26,Moderate,3086,534,62857,PER,8.88E-07,0.049710983,2.30E-05,20.4,291.4,20.4,39135899955,22.23
1993,368,Iraq,19542857,77.9,611.4,91.4,4.74,5.17,211.4,1.51,Moderate,153,4054,23714,IRQ,3.99E-06,0.051298701,0.000207442,78.6,624.3,78.6,4131359970,138.014
1994,356,India,448789000,413.5,2269.7,41.5,36.2,22.3,1610.2,2.12,Low,2680,1396.5,9440,IND,9.21E-07,0.851764706,3.11E-06,397.25,2291.29,397.3333333,7.23E+11,87.98
1994,156,China,1170000000,562,1312.83,80.8,36.2,6.343,637.143,2.916,Low,19600,530,162000,CHN,4.80E-07,0.442542787,4.53E-07,546,1287.1,546,7.45E+11,235.6128
1994,840,USA,261000000,548,2040,61.8,40.2,12.344,745,28.28,High,76828,466,408571,USA,2.10E-06,0.640127389,1.79E-06,552,2075,552,1.94E+11,1747.704
1994,76,Brazil,155400000,48.6,854.5,60.8,18.8,10.8,2172.5,4.4,Low,1786,355.7,166571,BRA,3.13E-07,0.30420712,2.29E-06,47.7,848.3,47.7,3.38E+11,267.52
1994,643,Russia,147542857,110.7,2101.9,33.2,41.6,11,464.5,6.4,High,3323,868,62828,RUS,7.50E-07,1.216374269,5.88E-06,112.3,2116.8,112.3,68533657077,212.48
1994,484,Mexico,86548571,77.4,348.6,81.2,5.8,8.8,738.6,1.4,Moderate,4171,7400,290000,MEX,8.94E-07,0.070559611,8.55E-05,77.3,351.4,77.3,63924774541,113.68
1994,36,Australia,216857,16.21,208.5,1.34,52.7,55.6,921.5,2.8,Low,4580,1568,290000,AUS,7.47E-05,22.52136752,0.007230538,16.29,210.1,16.28666667,199833725.5,3.752
1994,826,England,49040000,16.23,913.8,1.46,22.9,55.6,921.5,0.38,Low,4557,1806,216857,GBR,3.31E-07,9.308943089,3.68E-05,16.3,920.2,16.3,45190360000,0.5548
1994,250,France,59022857,38.9,171,14.4,20.4,16.4,779.1,21.7,Low,563,7857,212286,FRA,6.59E-07,1.324675325,0.000133118,39.1,172,39.13333333,45984707889,312.48
1994,124,Canada,28900000,43.8,627.2,11.6,78.7,9.4,541,0,Low,10571,61143,65429,CAN,1.52E-06,6.246031746,0.002115675,44.1,632.9,44.1,15634900000,0
1994,392,Japan,123442857,87.3,348.6,65.4,31,17.8,1703,0,Low,2823,17171,443714,JPN,7.07E-07,0.46686747,0.000139101,87.7,351.4,87.7,2.10E+11,0
1994,32,Argentina,34200000,32.8,538.6,74.4,8.4,10.4,583,0.9,Low,104,2157,63429,ARG,9.59E-07,0.111405836,6.31E-05,32.6,541.4,32.6,19938600000,66.96
1994,704,Vietnam,70000000,64,84,90.9,8.4,8.8,1792,0.5,Low,580,21114,59857,VNM,9.14E-07,0.0914037,0.000301629,63,83,63,1.25E+11,45.45
1994,608,Philippines,68928571,54,156,84.1,5.6,10.6,2392,0.9,Low,906,907,41429,PHL,7.83E-07,0.065804935,1.32E-05,53,157,53,1.65E+11,75.69
1994,364,Iran,59771429,75,426,91.8,5.4,6.4,242,7.9,Moderate,64,31,71286,IRN,1.25E-06,0.058189655,5.19E-07,74,432,74,14464685818,725.22
1994,764,Thailand,57722857,38,483,87.7,5.8,5.6,1571,7.9,Low,12286,71714,81714,THA,6.58E-07,0.065388952,0.001242385,37,487,37,90682608347,692.83
1994,860,Uzbekistan,22271429,62,1908.6,96.6,7.4,5.6,244.3,2.6,Moderate,1114,28057,3143,UZB,2.78E-06,0.075819672,0.001259775,62.5,1931.4,62.5,5440910105,251.16
1994,792,Turkey,59871429,35.2,176.6,73.9,12.8,16.4,658.6,1.8,Low,649,2031,107143,TUR,5.88E-07,0.170894526,3.39E-05,34.4,177.4,34.4,39431323139,133.02
1994,604,Peru,23562857,20.8,282.9,85.4,4.4,8.23,1682.9,0.34,Moderate,3614,537,67143,PER,8.83E-07,0.050925926,2.28E-05,20.6,287.1,20.6,39653932045,29.036
1994,368,Iraq,20357143,77.1,598.6,91.2,4.66,5.23,208.6,1.69,Moderate,160,4006,23286,IRQ,3.79E-06,0.050542299,0.000196786,77.9,611.4,77.86666667,4246500030,154.128
1995,356,India,460812000,430,2249.71,42,36.8,21.2,1605.75,2.18,Low,2790,1435,9600,IND,9.33E-07,0.855813953,3.11E-06,413.5,2269.7,413.5833333,7.40E+11,91.56
1995,156,China,1180000000,579,1339.03,80,36.8,6.717,636.429,3.145,Moderate,19750,550,171000,CHN,4.91E-07,0.454320988,4.66E-07,562,1312.83,562.3333333,7.51E+11,251.6
1995,840,USA,264000000,544,2005,61,39,12.43,752.5,27.85,High,77285,467.5,415714,USA,2.06E-06,0.629032258,1.77E-06,548,2040,548,1.99E+11,1698.85
1995,76,Brazil,157000000,49.5,860.8,61,18.5,11,2165.6,5,Low,1857,357.1,175714,BRA,3.15E-07,0.298387097,2.27E-06,48.6,854.5,48.6,3.40E+11,305
1995,643,Russia,147428571,109.1,2087.6,32.8,40.7,11.2,465.6,6.3,High,3329,872,67285,RUS,7.40E-07,1.204142012,5.91E-06,110.7,2101.9,110.7,68642742658,206.64
1995,484,Mexico,87885714,77.5,345.7,81,6,9,735.7,1.5,Moderate,4214,7500,300000,MEX,8.82E-07,0.073170732,8.53E-05,77.4,348.6,77.4,64657519790,121.5
1995,36,Australia,218571,16.14,207,1.43,52.1,55.7,925.6,3,Low,4600,1570,300000,AUS,7.38E-05,21.44032922,0.007182988,16.21,208.5,16.21333333,202309317.6,4.29
1995,826,England,49300000,16.17,907.5,1.57,22.4,55.7,925.6,0.4,Low,4571,1807,218571,GBR,3.28E-07,8.715953307,3.67E-05,16.23,913.8,16.23333333,45632080000,0.628
1995,250,France,59228571,38.6,170,14.3,20,16.5,781.4,22.1,Low,566,7871,212857,FRA,6.52E-07,1.307189542,0.000132892,38.9,171,38.86666667,46281205379,316.03
1995,124,Canada,29200000,43.5,621.5,11.5,78.3,9.5,542,0,Low,10714,61429,64286,CAN,1.49E-06,6.264,0.002103733,43.8,627.2,43.8,15826400000,0
1995,392,Japan,123428571,86.9,345.7,65.3,30.5,17.7,1705,0,Low,2829,17214,437143,JPN,7.04E-07,0.460030166,0.000139465,87.3,348.6,87.3,2.10E+11,0
1995,32,Argentina,34600000,33,535.7,74.3,8.5,10.5,581,1,Low,105,2171,64286,ARG,9.54E-07,0.112881806,6.27E-05,32.8,538.6,32.8,20102600000,74.3
1995,704,Vietnam,71000000,65,85,90.6,8.5,9,1790,0.6,Low,600,22143,71071,VNM,9.15E-07,0.09279476,0.000311873,64,84,64,1.27E+11,54.36
1995,608,Philippines,70685714,55,155,83.6,5.7,10.7,2390,1,Low,957,921,44286,PHL,7.78E-07,0.067375887,1.30E-05,54,156,54,1.69E+11,83.6
1995,364,Iran,60714286,76,420,91.7,5.5,6.5,240,8.6,Moderate,70,32,72857,IRN,1.25E-06,0.059331176,5.27E-07,75,426,75,14571428640,788.62
1995,764,Thailand,58128571,38,479,87.1,6,5.7,1564,8.6,Low,12857,72143,87143,THA,6.54E-07,0.068104427,0.001241094,38,483,37.66666667,90913085044,749.06
1995,860,Uzbekistan,22714286,61.5,1885.7,96.3,7.3,5.7,242.9,2.7,Moderate,1143,28071,3429,UZB,2.71E-06,0.075025694,0.00123583,62,1908.6,62,5517300069,260.01
1995,792,Turkey,60714286,36,175.7,73.6,13,16.5,655.7,2,Low,686,2114,111429,TUR,5.93E-07,0.174262735,3.48E-05,35.2,176.6,35.2,39810357330,147.2
1995,604,Peru,23928571,21,278.6,85.2,4.5,8.29,1678.6,0.43,Moderate,4143,540,71429,PER,8.78E-07,0.052204176,2.26E-05,20.8,282.9,20.8,40166499281,36.636
1995,368,Iraq,21171429,76.4,585.7,91,4.57,5.29,205.7,1.86,High,168,3957,22857,IRQ,3.61E-06,0.049673913,0.000186903,77.1,598.6,77.13333333,4354962945,169.26
1996,356,India,473301000,446.75,2231.15,41.2,37.5,21.3,1592.1,2.25,Low,2900,1474.25,9760,IND,9.44E-07,0.888625592,3.11E-06,430,2249.71,430.0833333,7.54E+11,92.7
1996,156,China,1190000000,596,1365.71,79.2,37.5,7.108,635.714,3.374,Moderate,19900,570,180000,CHN,5.01E-07,0.467581047,4.79E-07,579,1339.03,579,7.57E+11,267.2208
1996,840,USA,267000000,540,1970,60.2,37.8,12.516,760,27.42,High,77742,469,422857,USA,2.02E-06,0.617647059,1.76E-06,544,2005,544,2.03E+11,1650.684
1996,76,Brazil,158600000,50.4,867.2,61.2,18.2,11.2,2158.8,5.6,Low,1929,358.6,184857,BRA,3.18E-07,0.292604502,2.26E-06,49.5,860.8,49.5,3.42E+11,342.72
1996,643,Russia,147314286,107.6,2073.9,32.3,39.9,11.5,466.8,6.1,High,3334,877,71742,RUS,7.30E-07,1.198198198,5.95E-06,109.1,2087.6,109.1333333,68766308705,197.03
1996,484,Mexico,89222857,77.6,342.9,80.8,6.2,9.2,732.9,1.6,Moderate,4257,7600,310000,MEX,8.70E-07,0.075794621,8.52E-05,77.5,345.7,77.5,65391431895,129.28
1996,36,Australia,220286,16.07,205.4,1.51,51.6,55.9,929.8,3.2,Low,4620,1572,310000,AUS,7.30E-05,20.55776892,0.007136145,16.14,207,16.14,204821922.8,4.832
1996,826,England,49560000,16.1,901.3,1.69,21.9,55.9,929.8,0.42,Low,4586,1809,220286,GBR,3.25E-07,8.141263941,3.65E-05,16.17,907.5,16.16666667,46080888000,0.7098
1996,250,France,59434286,38.3,169,14.1,19.6,16.6,783.7,22.6,Low,569,7886,213429,FRA,6.44E-07,1.298013245,0.000132684,38.6,170,38.6,46578649938,318.66
1996,124,Canada,29500000,43.2,615.8,11.4,78,9.6,543,0,Low,10857,61714,63143,CAN,1.46E-06,6.290322581,0.002092,43.5,621.5,43.5,16018500000,0
1996,392,Japan,123414286,86.4,342.9,65.1,30,17.7,1707,0,Low,2834,17257,430571,JPN,7.00E-07,0.453857791,0.00013983,86.9,345.7,86.86666667,2.11E+11,0
1996,32,Argentina,35000000,33.2,532.9,74.1,8.6,10.6,579,1.1,Low,106,2186,65143,ARG,9.49E-07,0.114513981,6.25E-05,33,535.7,33,20265000000,81.51
1996,704,Vietnam,72000000,66,86,90.3,8.6,9.2,1788,0.7,Low,620,23171,82286,VNM,9.17E-07,0.094194962,0.000321819,65,85,65,1.29E+11,63.21
1996,608,Philippines,72442857,56,154,83.1,5.9,10.9,2388,1.1,Low,1009,936,47143,PHL,7.73E-07,0.070154578,1.29E-05,55,155,55,1.73E+11,91.41
1996,364,Iran,61657143,77,414,91.7,5.6,6.6,238,9.3,Moderate,76,34,74429,IRN,1.25E-06,0.060409924,5.51E-07,76,420,76,14674400034,852.81
1996,764,Thailand,58534286,39,475,86.6,6.2,5.9,1557,9.3,Low,13429,72571,92571,THA,6.66E-07,0.070776256,0.001239803,38,479,38.33333333,91137883302,805.38
1996,860,Uzbekistan,23157143,61,1862.9,95.9,7.1,5.9,241.4,2.9,High,1171,28086,3714,UZB,2.63E-06,0.073271414,0.001212844,61.5,1885.7,61.5,5590134320,278.11
1996,792,Turkey,61557143,36.8,174.9,73.3,13.2,16.6,652.9,2.2,Low,723,2197,115714,TUR,5.98E-07,0.177658143,3.57E-05,36,175.7,36,40190658665,161.26
1996,604,Peru,24294286,21.2,274.3,85.1,4.6,8.35,1674.3,0.51,Moderate,4671,543,75714,PER,8.73E-07,0.053426249,2.24E-05,21,278.6,21,40675923050,43.401
1996,368,Iraq,21985714,75.7,572.9,90.8,4.49,5.34,202.9,2.03,High,175,3909,22429,IRQ,3.44E-06,0.048910675,0.000177797,76.4,585.7,76.4,4460901371,184.324
1997,356,India,486265000,463.75,2213.88,42.5,36.7,20.8,1618.65,2.16,Low,3010,1514.25,9920,IND,9.54E-07,0.843678161,3.11E-06,446.75,2231.15,446.8333333,7.87E+11,91.8
1997,156,China,1200000000,614,1392.89,78.4,36.7,7.516,635,3.603,Moderate,20050,590,189000,CHN,5.12E-07,0.462216625,4.92E-07,596,1365.71,596.3333333,7.62E+11,282.4752
1997,840,USA,270000000,536,1935,59.4,36.6,12.602,767.5,26.99,High,78199,470.5,430000,USA,1.99E-06,0.605960265,1.74E-06,540,1970,540,2.07E+11,1603.206
1997,76,Brazil,160200000,51.3,873.7,61.4,17.9,11.4,2151.9,6.2,Low,2000,360,194000,BRA,3.20E-07,0.286858974,2.25E-06,50.4,867.2,50.4,3.45E+11,380.68
1997,643,Russia,147200000,106,2060.8,31.9,39,11.7,467.9,6,High,3340,881,76199,RUS,7.20E-07,1.185410334,5.99E-06,107.6,2073.9,107.5666667,68874880000,191.4
